Time,Tag,Flow
1618887237.8821042,,"9210004, -0.0167, 0.0167, 24.94, 24.98
"
1618887237.88709,,"9215004, -0.0500, -0.0333, 24.94, 24.98
"
1618887237.8920763,,"9220004, -0.0167, 0.0333, 24.95, 24.96
"
1618887237.8970656,,"9225008, -0.0333, -0.0500, 24.95, 24.98
"
1618887237.902051,,"9230000, -0.0167, -0.0667, 24.92, 24.99
"
1618887237.9070377,,"9235008, 0.0667, -0.0333, 24.91, 24.99
"
1618887237.9120486,,"9240004, 0.0000, -0.0833, 24.93, 24.99
"
1618887237.9170358,,"9245000, 0.0500, -0.0500, 24.93, 25.00
"
1618887237.9220228,,"9250008, 0.0000, -0.0833, 24.95, 25.00
"
1618887237.927016,,"9255008, -0.0500, -0.0167, 24.93, 25.00
"
1618887237.932001,,"9260008, -0.0167, 0.0000, 24.93, 24.98
"
1618887237.9369872,,"9265004, 0.0167, 0.0333, 24.92, 25.00
"
1618887237.9419723,,"9270004, -0.0667, 0.0167, 24.92, 25.00
"
1618887237.946959,,"9275008, -0.0167, 0.0000, 24.91, 24.98
"
1618887237.9519193,,"9280008, 0.0500, 0.0333, 24.91, 24.98
"
1618887237.956937,,"9285004, -0.0333, 0.0833, 24.92, 24.98
"
1618887237.9619212,,"9290004, -0.0667, -0.0333, 24.96, 24.97
"
1618887237.9668915,,"9295004, 0.0333, -0.0167, 24.96, 25.00
"
1618887237.9718683,,"9300008, 0.0667, -0.0500, 24.94, 24.98
"
1618887237.9768558,,"9305000, -0.0500, -0.0333, 24.94, 24.98
"
1618887237.9818413,,"9310008, 0.0000, 0.0500, 24.93, 25.01
"
1618887237.9868274,,"9315000, 0.0167, -0.0500, 24.93, 24.97
"
1618887237.991814,,"9320004, -0.0333, 0.0333, 24.94, 24.97
"
1618887237.9968004,,"9325008, 0.0333, 0.0000, 24.90, 24.98
"
1618887238.0018106,,"9330004, -0.0500, -0.0167, 24.93, 24.97
"
1618887238.006797,,"9335004, -0.0167, 0.0000, 24.93, 25.01
"
1618887238.0117793,,"9340000, 0.0167, -0.0333, 24.93, 25.01
"
1618887238.0167673,,"9345004, 0.0167, 0.0167, 24.90, 24.98
"
1618887238.021753,,"9350000, 0.0167, 0.0167, 24.90, 24.96
"
1618887238.0267267,,"9355004, -0.0167, 0.0167, 24.92, 24.96
"
1618887238.0317278,,"9360008, 0.0167, 0.0000, 24.91, 25.00
"
1618887238.0367138,,"9365000, -0.0333, -0.0167, 24.92, 25.00
"
1618887238.0417187,,"9370008, -0.0833, -0.0167, 24.92, 24.97
"
1618887238.0466878,,"9375000, -0.0500, 0.0500, 24.96, 24.97
"
1618887238.0516555,,"9380016, 0.0167, -0.0667, 24.94, 25.00
"
1618887238.0566547,,"9385000, 0.0333, -0.0333, 24.93, 24.98
"
1618887238.06163,,"9390008, -0.0500, 0.0000, 24.93, 24.98
"
1618887238.066616,,"9395004, -0.0500, 0.0333, 24.94, 24.96
"
1618887238.0716026,,"9400000, -0.0167, 0.0333, 24.96, 25.00
"
1618887238.076601,,"9405000, -0.0167, -0.0500, 24.96, 25.00
"
1618887238.081576,,"9410008, -0.0167, -0.0333, 24.92, 24.98
"
1618887238.0865645,,"9415004, -0.0333, -0.0167, 24.92, 24.98
"
1618887238.090553,,"9420000, -0.0667, -0.0167, 24.94, 24.98
"
1618887238.09554,,"9425000, 0.0333, 0.0500, 24.94, 24.98
"
1618887238.1005268,,"9430000, 0.0000, 0.0000, 24.94, 25.00
"
1618887238.1055493,,"9435000, 0.0167, 0.0000, 24.92, 25.00
"
1618887238.1115026,,"9440008, 0.0000, -0.0167, 24.92, 25.00
"
1618887238.1154869,,"9445004, 0.0333, -0.0500, 24.92, 24.96
"
1618887238.1214714,,"9450000, -0.0333, 0.0000, 24.95, 24.98
"
1618887238.1264577,,"9455008, -0.0167, -0.0167, 24.93, 24.95
"
1618887238.1304471,,"9460004, -0.0500, -0.0333, 24.93, 24.95
"
1618887238.1354342,,"9465004, 0.0000, 0.0167, 24.95, 24.98
"
1618887238.1414182,,"9470000, 0.0167, -0.0167, 24.94, 24.97
"
1618887238.1454074,,"9475008, -0.0333, -0.0500, 24.93, 24.97
"
1618887238.1503947,,"9480008, -0.0167, -0.0167, 24.93, 25.00
"
1618887238.1563792,,"9485004, 0.0333, -0.0167, 24.95, 24.94
"
1618887238.1603687,,"9490008, 0.0167, -0.0167, 24.90, 25.00
"
1618887238.165355,,"9495008, -0.0333, -0.0333, 24.92, 25.00
"
1618887238.1703424,,"9500004, -0.0167, 0.0333, 24.92, 24.98
"
1618887238.175329,,"9505004, 0.0000, -0.0167, 24.94, 24.99
"
1618887238.1803162,,"9510004, -0.0333, 0.0000, 24.88, 24.99
"
1618887238.1853027,,"9515004, -0.0333, -0.0333, 24.88, 25.00
"
1618887238.19029,,"9520004, 0.0333, -0.0167, 24.94, 24.96
"
1618887238.1952767,,"9525008, 0.0000, 0.0167, 24.92, 24.97
"
1618887238.2002633,,"9530000, 0.0833, -0.0667, 24.93, 24.97
"
1618887238.205251,,"9535008, 0.0167, 0.0333, 24.93, 24.98
"
1618887238.210237,,"9540008, -0.0167, 0.0333, 24.94, 24.98
"
1618887238.2152238,,"9545008, 0.0333, -0.0333, 24.92, 24.98
"
1618887238.2202125,,"9550000, -0.0167, 0.0000, 24.92, 24.95
"
1618887238.2252,,"9555000, 0.0000, 0.0167, 24.92, 25.01
"
1618887238.2301862,,"9560004, 0.0000, -0.0500, 24.95, 24.96
"
1618887238.2351935,,"9565004, -0.0167, -0.0167, 24.89, 24.96
"
1618887238.2401814,,"9570000, -0.0167, -0.0833, 24.89, 25.00
"
1618887238.245145,,"9575000, 0.0000, 0.0000, 24.92, 24.96
"
1618887238.2501545,,"9580008, 0.0667, -0.0167, 24.92, 24.96
"
1618887238.2551186,,"9585000, -0.0333, 0.0333, 24.96, 25.01
"
1618887238.2601285,,"9590000, 0.0167, -0.0667, 24.96, 24.98
"
1618887238.2650917,,"9595008, 0.0000, -0.0333, 24.90, 24.95
"
1618887238.270102,,"9600004, 0.0000, -0.0833, 24.92, 24.95
"
1618887238.27509,,"9605000, 0.0167, 0.0167, 24.92, 24.94
"
1618887238.2800756,,"9610000, 0.0167, 0.0500, 24.92, 24.96
"
1618887238.2850635,,"9615000, -0.0333, -0.0167, 24.90, 24.96
"
1618887238.2900493,,"9620004, -0.0333, -0.0833, 24.94, 25.00
"
1618887238.2950397,,"9625000, 0.0167, 0.0500, 24.94, 25.00
"
1618887238.3000271,,"9630008, 0.0000, 0.0167, 24.94, 25.00
"
1618887238.304987,,"9635004, -0.0167, -0.0333, 24.96, 24.97
"
1618887238.3099737,,"9640004, -0.0333, 0.0167, 24.90, 24.98
"
1618887238.3149605,,"9645008, 0.0333, -0.0500, 24.90, 24.98
"
1618887238.319947,,"9650004, 0.0000, -0.0333, 24.89, 24.98
"
1618887238.3249345,,"9655004, -0.0333, 0.0333, 24.92, 24.99
"
1618887238.329921,,"9660008, -0.0167, 0.0000, 24.94, 24.96
"
1618887238.334908,,"9665004, -0.0167, -0.0167, 24.94, 24.96
"
1618887238.3398948,,"9670000, 0.0000, 0.0500, 24.92, 24.96
"
1618887238.3448813,,"9675004, 0.0167, 0.0000, 24.94, 25.02
"
1618887238.3498683,,"9680008, 0.0000, 0.0000, 24.94, 24.99
"
1618887238.3548555,,"9685000, 0.0333, -0.0500, 24.92, 24.99
"
1618887238.359842,,"9690008, -0.0333, 0.0167, 24.96, 24.98
"
1618887238.3648286,,"9695008, 0.0000, -0.0167, 24.92, 24.99
"
1618887238.3698158,,"9700008, -0.0167, -0.0167, 24.92, 24.99
"
1618887238.3748028,,"9705004, -0.0500, -0.0333, 24.94, 24.96
"
1618887238.3797894,,"9710000, -0.0667, -0.0833, 24.92, 24.97
"
1618887238.384776,,"9715008, 0.0333, 0.0333, 24.94, 24.98
"
1618887238.389763,,"9720000, 0.0000, -0.0667, 24.94, 24.98
"
1618887238.39475,,"9725000, -0.0167, -0.0500, 24.94, 24.98
"
1618887238.3997371,,"9730004, -0.0500, 0.0167, 24.92, 24.96
"
1618887238.4047241,,"9735008, -0.0167, 0.0667, 24.92, 24.96
"
1618887238.4097102,,"9740000, -0.0500, -0.0833, 24.93, 25.00
"
1618887238.4146972,,"9745008, 0.0333, 0.0500, 24.94, 24.96
"
1618887238.4196842,,"9750008, -0.0500, -0.0167, 24.90, 24.92
"
1618887238.4246705,,"9755000, 0.0500, 0.0333, 24.90, 24.92
"
1618887238.429658,,"9760008, -0.0333, 0.0333, 24.92, 25.00
"
1618887238.4346447,,"9765004, 0.0167, 0.0167, 24.94, 24.96
"
1618887238.4396315,,"9770004, 0.0667, -0.0167, 24.95, 24.96
"
1618887238.4446187,,"9775008, -0.0167, -0.0333, 24.95, 24.96
"
1618887238.4496052,,"9780004, 0.0167, -0.0167, 24.92, 24.98
"
1618887238.4545915,,"9785008, -0.0333, 0.0000, 24.91, 25.00
"
1618887238.4595795,,"9790000, 0.0167, -0.0167, 24.91, 25.00
"
1618887238.464566,,"9795008, -0.0833, 0.0167, 24.91, 24.98
"
1618887238.469553,,"9800000, -0.0333, 0.0167, 24.92, 24.98
"
1618887238.4745395,,"9805000, 0.1000, -0.0167, 24.92, 24.98
"
1618887238.4795263,,"9810000, -0.0333, -0.0333, 24.92, 24.96
"
1618887238.4865088,,"9815004, -0.0167, -0.0500, 24.90, 24.97
"
1618887238.4895005,,"9820008, -0.0167, 0.0167, 24.94, 24.97
"
1618887238.494487,,"9825000, -0.0167, -0.0167, 24.92, 24.97
"
1618887238.4994743,,"9830008, 0.0333, 0.0167, 24.92, 25.00
"
1618887238.5044613,,"9835000, 0.0167, -0.0167, 24.93, 25.00
"
1618887238.5094469,,"9840004, 0.0167, -0.0333, 24.89, 25.00
"
1618887238.514434,,"9845008, 0.0500, -0.0167, 24.89, 25.00
"
1618887238.5194206,,"9850004, 0.0333, 0.0333, 24.94, 24.97
"
1618887238.5244079,,"9855004, -0.0333, -0.0333, 24.92, 24.97
"
1618887238.5293946,,"9860000, 0.0333, -0.0333, 24.94, 24.98
"
1618887238.534382,,"9865004, -0.0500, -0.0500, 24.94, 24.98
"
1618887238.5393677,,"9870000, -0.0167, -0.0500, 24.89, 24.96
"
1618887238.544355,,"9875008, -0.0167, -0.0667, 24.92, 24.96
"
1618887238.549342,,"9880004, 0.0167, 0.0333, 24.93, 24.95
"
1618887238.5543287,,"9885004, -0.0167, -0.0167, 24.93, 25.00
"
1618887238.5593157,,"9890000, -0.0333, -0.0667, 24.94, 25.00
"
1618887238.5643027,,"9895000, -0.0167, -0.0500, 24.94, 25.00
"
1618887238.5692894,,"9900008, -0.0500, -0.0500, 24.94, 25.00
"
1618887238.5742762,,"9905008, 0.0167, -0.0500, 24.90, 24.96
"
1618887238.5792625,,"9910008, -0.0333, 0.0000, 24.92, 24.96
"
1618887238.5842495,,"9915008, 0.0167, -0.0167, 24.94, 24.97
"
1618887238.5892363,,"9920000, 0.0333, 0.0167, 24.94, 24.96
"
1618887238.594223,,"9925000, 0.0000, -0.0500, 24.92, 24.96
"
1618887238.5992103,,"9930008, -0.0167, 0.0167, 24.94, 24.97
"
1618887238.604197,,"9935004, 0.0167, 0.0667, 24.94, 24.99
"
1618887238.609184,,"9940000, 0.0333, 0.0000, 24.94, 24.96
"
1618887238.6141706,,"9945004, 0.0167, 0.0000, 24.92, 24.96
"
1618887238.6191578,,"9950000, 0.0000, -0.0333, 24.93, 24.96
"
1618887238.6241443,,"9955000, 0.0167, -0.0500, 24.93, 24.94
"
1618887238.629131,,"9960004, -0.0500, -0.0500, 24.96, 24.94
"
1618887238.634118,,"9965000, -0.0167, -0.0333, 24.94, 24.98
"
1618887238.639105,,"9970008, 0.0000, -0.0500, 24.92, 24.96
"
1618887238.6440918,,"9975008, 0.0000, 0.0000, 24.92, 24.98
"
1618887238.6490786,,"9980000, 0.0833, -0.0500, 24.92, 24.98
"
1618887238.6540668,,"9985004, -0.0333, 0.0000, 24.94, 24.94
"
1618887238.6590543,,"9990004, 0.0500, -0.0333, 24.94, 24.97
"
1618887238.6640737,,"9995008, -0.0500, -0.0333, 24.94, 24.97
"
1618887238.6690607,,"10000004, -0.0667, -0.0667, 24.91, 25.00
"
