Time,Tag,Flow
1618887388.2716856,,"15120000, 0.0667, -0.0500, 25.00, 25.08
"
1618887388.2716856,,"15125008, 0.0000, 0.0000, 25.02, 25.08
"
1618887388.2816868,,"15130004, 0.0000, 0.0000, 25.02, 25.09
"
1618887388.2816868,,"15135008, 0.0167, -0.0333, 25.00, 25.09
"
1618887388.291686,,"15140016, 0.0167, -0.0167, 25.04, 25.08
"
1618887388.291686,,"15145008, 0.0000, 0.0167, 25.04, 25.06
"
1618887388.3016872,,"15150000, 0.0000, 0.0000, 25.02, 25.08
"
1618887388.3016872,,"15155008, -0.0167, 0.0000, 25.00, 25.08
"
1618887388.3116872,,"15160008, -0.0667, -0.0167, 25.02, 25.08
"
1618887388.3116872,,"15165008, -0.0167, 0.0000, 25.02, 25.07
"
1618887388.3216875,,"15170004, -0.0333, -0.0333, 25.01, 25.07
"
1618887388.3216875,,"15175008, -0.0333, -0.0667, 25.01, 25.08
"
1618887388.3316875,,"15180000, -0.0167, -0.0333, 25.00, 25.10
"
1618887388.3316875,,"15185000, 0.0000, -0.0333, 25.00, 25.08
"
1618887388.341688,,"15190000, 0.0000, -0.0667, 25.04, 25.08
"
1618887388.341688,,"15195004, -0.0167, -0.0167, 25.02, 25.08
"
1618887388.3516884,,"15200008, -0.0167, 0.0000, 25.02, 25.08
"
1618887388.3516884,,"15205000, -0.0167, 0.0000, 25.02, 25.08
"
1618887388.3617198,,"15210000, 0.0000, 0.0500, 25.00, 25.08
"
1618887388.3617198,,"15215008, 0.0000, -0.1167, 25.00, 25.07
"
1618887388.3716886,,"15220008, 0.0000, 0.0000, 25.00, 25.09
"
1618887388.3716886,,"15225008, -0.0333, -0.0500, 24.99, 25.09
"
1618887388.3828173,,"15230008, 0.0333, -0.0333, 25.00, 25.06
"
1618887388.3828173,,"15235008, -0.0500, -0.0333, 25.02, 25.03
"
1618887388.3928206,,"15240004, 0.0000, -0.0167, 25.02, 25.03
"
1618887388.3928206,,"15245000, -0.0167, -0.0333, 24.96, 25.09
"
1618887388.4028213,,"15250004, 0.0500, 0.0000, 25.02, 25.09
"
1618887388.4028213,,"15255004, 0.0167, 0.0000, 25.02, 25.06
"
1618887388.4128516,,"15260000, 0.0167, 0.0000, 25.02, 25.06
"
1618887388.4128516,,"15265000, 0.0000, 0.0000, 25.02, 25.07
"
1618887388.422822,,"15270000, -0.0500, -0.0500, 25.02, 25.05
"
1618887388.422822,,"15275004, -0.0500, 0.0000, 25.02, 25.05
"
1618887388.432841,,"15280000, -0.0333, 0.0333, 25.02, 25.07
"
1618887388.432841,,"15285008, -0.0333, -0.0333, 25.01, 25.07
"
