Time,Tag,Flow
1618788092.6463587,,"182113664, -0.05, -0.03, 24.75, 25.06
"
1618788092.6463587,,"182116736, -0.02, 0.00, 24.75, 25.04
"
1618788092.6563928,,"182119772, -0.05, -0.02, 24.76, 25.04
"
1618788092.6591206,,"182122840, -0.02, -0.02, 24.76, 25.04
"
1618788092.66211,,"182125908, 0.02, -0.03, 24.76, 25.04
"
1618788092.665071,,"182128968, -0.03, -0.03, 24.77, 25.04
"
1618788092.668063,,"182132036, -0.07, -0.02, 24.77, 25.06
"
1618788092.6710556,,"182135108, -0.05, 0.00, 24.77, 25.06
"
1618788092.6740468,,"182138144, -0.03, 0.00, 24.75, 25.06
"
1618788092.6770387,,"182141180, -0.03, 0.00, 24.75, 25.08
"
1618788092.6810515,,"182144204, -0.02, -0.02, 24.75, 25.08
"
1618788092.6811373,,"182147280, -0.03, -0.02, 24.76, 25.08
"
1618788092.6811373,,"182150352, -0.03, -0.03, 24.76, 25.01
"
1618788092.6811373,,"182153432, -0.05, -0.02, 24.76, 25.01
"
1618788092.6911387,,"182156512, -0.03, -0.03, 24.73, 25.04
"
1618788092.6911387,,"182159576, -0.02, -0.03, 24.73, 25.04
"
1618788092.6911387,,"182162652, -0.03, -0.03, 24.73, 25.04
"
1618788092.701161,,"182165732, -0.03, 0.02, 24.74, 25.06
"
1618788092.701161,,"182168788, -0.02, -0.02, 24.74, 25.06
"
1618788092.701161,,"182171864, -0.03, -0.02, 24.74, 25.06
"
1618788092.7111394,,"182174940, -0.05, 0.02, 24.76, 25.02
"
1618788092.7111394,,"182178012, -0.05, 0.00, 24.76, 25.02
"
1618788092.7111394,,"182181048, -0.02, -0.02, 24.76, 25.04
"
1618788092.7111394,,"182184120, -0.03, 0.00, 24.80, 25.04
"
1618788092.721146,,"182187152, -0.05, -0.05, 24.80, 25.04
"
1618788092.721146,,"182190224, -0.03, 0.00, 24.80, 25.04
"
1618788092.721146,,"182193256, -0.02, 0.02, 24.74, 25.04
"
1618788092.731152,,"182196324, -0.03, -0.02, 24.74, 25.08
"
1618788092.731152,,"182199392, -0.03, -0.02, 24.74, 25.08
"
1618788092.731152,,"182202460, -0.03, 0.00, 24.71, 25.08
"
1618788092.7411385,,"182205496, -0.05, -0.03, 24.71, 25.05
"
1618788092.7411385,,"182208568, -0.03, 0.00, 24.71, 25.05
"
1618788092.7411385,,"182211604, -0.03, 0.00, 24.77, 25.05
"
1618788092.7511413,,"182214632, -0.02, 0.00, 24.77, 25.04
"
1618788092.7511413,,"182217664, -0.03, -0.05, 24.77, 25.04
"
1618788092.7511413,,"182220736, -0.05, -0.05, 24.75, 25.05
"
1618788092.7511413,,"182223808, -0.02, 0.00, 24.75, 25.05
"
1618788092.761152,,"182226844, -0.02, -0.02, 24.75, 25.05
"
1618788092.761152,,"182229912, -0.05, -0.03, 24.78, 25.05
"
1618788092.761152,,"182232984, 0.02, -0.03, 24.78, 25.05
"
1618788092.7711446,,"182236040, -0.05, -0.02, 24.78, 25.06
"
1618788092.7711446,,"182239112, -0.02, -0.02, 24.77, 25.06
"
1618788092.7711446,,"182242184, -0.03, -0.05, 24.77, 25.06
"
1618788092.7811406,,"182245256, -0.05, -0.05, 24.77, 25.06
"
1618788092.7811406,,"182248328, -0.03, -0.02, 24.75, 25.06
"
1618788092.7811406,,"182251396, -0.05, -0.02, 24.75, 25.06
"
1618788092.7811406,,"182254468, -0.05, -0.03, 24.75, 25.05
"
1618788092.79114,,"182257540, -0.05, -0.02, 24.76, 25.05
"
1618788092.79114,,"182260608, -0.02, -0.03, 24.76, 25.06
"
1618788092.79114,,"182263680, -0.02, -0.02, 24.76, 25.06
"
1618788092.801146,,"182266752, -0.03, 0.00, 24.76, 25.06
"
1618788092.801146,,"182269788, -0.05, -0.02, 24.76, 25.04
"
1618788092.801146,,"182272860, -0.05, -0.03, 24.76, 25.04
"
1618788092.8111744,,"182275928, -0.07, 0.00, 24.77, 25.04
"
1618788092.8111744,,"182278964, -0.03, 0.02, 24.77, 25.04
"
1618788092.8111744,,"182282028, -0.02, -0.02, 24.77, 25.04
"
1618788092.8211749,,"182285096, -0.02, -0.02, 24.77, 25.07
"
1618788092.8211749,,"182288164, -0.03, -0.03, 24.77, 25.07
"
1618788092.8211749,,"182291232, -0.02, 0.00, 24.77, 25.07
"
1618788092.8211749,,"182294268, -0.03, -0.03, 24.77, 25.06
"
1618788092.8311415,,"182297336, -0.02, 0.03, 24.77, 25.06
"
1618788092.8311415,,"182300404, -0.05, -0.03, 24.77, 25.01
"
